"CustomerID,Gender,Age,Partner,Dependents,Tenure,InternetService,ContractType,MonthlyBill,TotalBill,PaymentMethod,Churn"
"1001,Male,25,Yes,No,2,DSL,Monthly,29.85,59.7,Electronic check,Yes"
"1002,Female,34,No,No,34,Fiber optic,1 Year,56.95,1936.3,Mailed check,No"
"1003,Female,52,Yes,Yes,45,Fiber optic,2 Years,75.9,3415.5,Electronic check,Yes"
"1004,Male,29,No,No,8,DSL,Monthly,42.3,338.4,Bank transfer,No"
"1005,Male,45,Yes,Yes,60,Fiber optic,2 Years,89.1,5346.0,Credit card,No"
"1006,Female,61,No,No,12,DSL,Monthly,65.5,786.0,Electronic check,Yes"
"1007,Male,23,No,No,3,No,Monthly,30.2,90.6,Mailed check,Yes"
"1008,Female,38,Yes,Yes,24,Fiber optic,1 Year,70.4,1689.6,Credit card,No"
"1009,Male,55,Yes,No,50,Fiber optic,2 Years,95.0,4750.0,Electronic check,No"
"1010,Female,31,No,No,6,DSL,Monthly,45.25,271.5,Bank transfer,Yes"
"1011,Male,42,Yes,Yes,18,No,1 Year,55.8,1004.4,Mailed check,No"
"1012,Female,28,No,No,42,Fiber optic,2 Years,82.6,3469.2,Credit card,No"
"1013,Male,67,No,No,7,DSL,Monthly,38.9,272.3,Electronic check,Yes"
"1014,Female,36,Yes,Yes,55,Fiber optic,2 Years,88.75,4881.25,Bank transfer,No"
"1015,Male,49,Yes,No,28,DSL,1 Year,68.3,1912.4,Credit card,No"
"1016,Female,58,No,Yes,10,Fiber optic,Monthly,72.1,721.0,Electronic check,Yes"
"1017,Male,26,Yes,No,36,No,1 Year,61.45,2212.2,Mailed check,No"
"1018,Female,40,No,No,15,DSL,Monthly,49.9,748.5,Bank transfer,Yes"
"1019,Male,63,Yes,Yes,48,Fiber optic,2 Years,91.2,4377.6,Credit card,No"
"1020,Female,22,No,No,4,DSL,Monthly,35.6,142.4,Electronic check,Yes"
"1021,Male,35,Yes,Yes,22,Fiber optic,1 Year,79.5,1749.0,Mailed check,No"
"1022,Female,47,No,No,39,No,2 Years,40.25,1569.75,Credit card,No"
"1023,Male,30,Yes,Yes,5,DSL,Monthly,52.8,264.0,Electronic check,Yes"
"1024,Female,54,Yes,No,61,Fiber optic,1 Year,85.6,5211.6,Bank transfer,No"
"1025,Male,44,No,No,14,DSL,2 Years,31.9,446.6,Credit card,Yes"
"1026,Female,27,No,Yes,30,Fiber optic,Monthly,67.4,2022.0,Electronic check,No"
"1027,Male,51,Yes,No,9,No,1 Year,45.8,412.2,Mailed check,Yes"
"1028,Female,39,No,Yes,52,DSL,2 Years,92.3,4799.6,Bank transfer,No"
"1029,Male,60,Yes,No,27,Fiber optic,Monthly,58.7,1584.9,Credit card,No"
"1030,Female,33,No,No,11,DSL,1 Year,39.6,435.6,Electronic check,Yes"
"1031,Male,46,Yes,Yes,44,Fiber optic,2 Years,73.2,3220.8,Mailed check,No"
"1032,Female,24,No,No,19,No,Monthly,48.5,921.5,Credit card,Yes"
"1033,Male,57,No,No,33,DSL,1 Year,63.8,2105.4,Electronic check,No"
"1034,Female,32,Yes,Yes,3,Fiber optic,2 Years,87.4,2622.0,Bank transfer,No"
"1035,Male,41,Yes,No,58,DSL,Monthly,34.9,2024.2,Credit card,Yes"
"1036,Female,68,No,Yes,16,Fiber optic,1 Year,76.6,1225.6,Electronic check,No"
"1037,Male,29,Yes,No,41,No,2 Years,54.3,2226.3,Mailed check,No"
"1038,Female,53,No,No,8,DSL,Monthly,90.1,720.8,Bank transfer,Yes"
"1039,Male,37,Yes,Yes,25,Fiber optic,1 Year,43.7,1092.5,Credit card,No"
"1040,Female,48,No,No,47,DSL,2 Years,69.8,3280.6,Electronic check,Yes"
"1041,Male,62,Yes,Yes,13,Fiber optic,Monthly,81.4,1060.2,Mailed check,No"
"1042,Female,21,No,No,35,No,1 Year,37.5,1312.5,Credit card,No"
"1043,Male,43,Yes,Yes,6,DSL,2 Years,59.9,359.4,Electronic check,Yes"
"1044,Female,56,No,No,54,Fiber optic,Monthly,86.2,4644.8,Bank transfer,No"
"1045,Male,34,Yes,No,21,DSL,1 Year,46.8,982.8,Credit card,Yes"
"1046,Female,59,No,Yes,29,Fiber optic,2 Years,71.3,2067.7,Electronic check,No"
"1047,Male,28,Yes,No,17,No,Monthly,33.6,571.2,Mailed check,No"
"1048,Female,50,No,Yes,40,DSL,1 Year,94.5,3780.0,Bank transfer,Yes"
"1049,Male,45,Yes,No,32,Fiber optic,2 Years,57.2,1830.4,Credit card,No"
"1050,Female,31,No,No,7,DSL,Monthly,41.9,293.3,Electronic check,Yes"
